Name,Park,City,State,Country,Type,Construction,Height,Speed,Length,Inversions,Numinversions,Duration,GForce,Opened,Region
Top Thrill Dragster,Cedar Point,Sandusky,OH,US,S,Steel,128.016,194.4,853.44,No,0,30,"",2003,North America
Superman The Escape,Six Flags Magic Mountain,Valencia,CA,US,S,Steel,126.492,162,376.428,No,0,28,4.5,1997,North America
Millennium Force,Cedar Point,Sandusky,OH,US,S,Steel,94.488,150.66,2010.16,No,0,140,"",2000,North America
Titan,Six Flags Over Texas,Arlington,TX,US,S,Steel,74.676,137.7,1619.1,No,0,210,"",2001,North America
Silver Star,Europa Park,"Rust, Baden Wuerttemberg",D,D,S,Steel,73,127,1620,No,0,240,4,2002,Europe
Goliath,Six Flags Magic Mountain,Valencia,CA,US,S,Steel,71.628,137.7,1371.6,No,0,180,"",2000,North America
Diamondback,Kings Island,Kings Mills,OH,US,S,Steel,70.104,129.6,1609.95,No,0,180,"",2009,North America
Supermanel ï¿½ltimo Escape,Six Flags Mexico,Mexico City,MX,MX,S,Steel,67,120,1700,No,0,184,"",2004,Latin America
Son Of Beast,Kings Island,Kings Mills,OH,US,W,Wood,66.4464,126.36,2143.35,Yes,1,140,4.5,2000,North America
Mr. Freeze,Six Flags Over Texas,Arlington,TX,US,S,Steel,66.4464,113.4,396.24,Yes,1,"","",1998,North America
Wicked Twister,Cedar Point,Sandusky,OH,US,S,Steel,65.532,116.64,"",No,0,"","",2002,North America
Magnum XL-200,Cedar Point,Sandusky,OH,US,S,Steel,62.484,116.64,1556.31,No,0,120,"",1989,North America
Xcelerator,Knott's Berry Farm,Buena Park,CA,US,S,Steel,62.484,132.84,671.17,No,0,62,"",2002,North America
Raging Bull,Six Flags Great America,Gurnee,IL,US,S,Steel,61.5696,118.26,1541.37,No,0,150,"",1999,North America
Robin,Beto Carrero World,"Penha, SC",BR,BR,S,Steel,61,104.6,374.6,Yes,2,0.5,5,2014,Latin America
Batman,Beto Carrero World,"Penha, SC",BR,BR,S,Steel,61,104.6,346.6,Yes,1,0.3,5,2013,Latin America
Colossos,Heide-Park Soltau,"Soltau, Lower Saxony",D,D,W,Wood,60,120,1344,No,0,175,"",2001,Europe
Sky Mountain,Mirobillandia,"Olinda, PB",BR,BR,S,Steel,58.4,105.6,367,Yes,3,92,4.5,"",Latin America
Dï¿½jï¿½ Vu,Six Flags Magic Mountain,Valencia,CA,US,S,Steel,58.2168,105.3,366.979,Yes,3,92,4.5,2001,North America
Viper,Six Flags Magic Mountain,Valencia,CA,US,S,Steel,57.3024,113.4,1167.38,Yes,7,150,"",1990,North America
Vertical Velocity,Six Flags Great America,Gurnee,IL,US,S,Steel,56.388,113.4,192.024,No,0,"","",2001,North America
Rattler,Six Flags Fiesta Texas,San Antonio,TX,US,W,Wood,54.5592,105.3,1548.38,No,0,146,"",1992,North America
X2,Six Flags Magic Mountain,Valencia,CA,US,S,Steel,53.34,123.12,1100.33,Yes,2,"",4,2002,North America
Expedition GeForce,Holiday Park,"Hassloch, Rhineland-Palatinate",D,D,S,Steel,53,120,1220,No,0,75,4.5,2001,Europe
Tatsu,Six Flags Magic Mountain,Valencia,CA,US,S,Steel,51.816,100.44,1097.89,Yes,4,"","",2006,North America
Superman Krypton Coaster,Six Flags Fiesta Texas,San Antonio,TX,US,S,Steel,51.2064,113.4,1226.82,Yes,6,155,"",2000,North America
Voyage,Holiday World,Santa Claus,IN,US,W,Wood,49.6824,108.54,1963.52,No,0,165,"",2006,North America
Mean Streak,Cedar Point,Sandusky,OH,US,W,Wood,49.0728,105.3,1654.15,No,0,193,"",1991,North America
Riddler's Revenge,Six Flags Magic Mountain,Valencia,CA,US,S,Steel,47.5488,105.3,1331.98,Yes,6,180,4.2,1998,North America
Sky Wheel,Skyline Park,"Bad Wï¿½rishofen, Bavaria",D,D,S,Steel,46,105,150,Yes,2,50,5,2004,Europe
Steel Eel,SeaWorld San Antonio,San Antonio,TX,US,S,Steel,45.72,105.3,1127.76,No,0,100,3.5,1999,North America
V2: Vertical Velocity,Six Flags Discovery Kingdom,Vallejo,CA,US,S,Steel,45.72,105.3,192.024,No,0,"","",2001,North America
Scream!,Six Flags Magic Mountain,Valencia,CA,US,S,Steel,45.72,102.06,1214.63,Yes,7,180,"",2003,North America
Medusa,Six Flags Discovery Kingdom,Vallejo,CA,US,S,Steel,45.72,105.3,1200,Yes,7,195,4.5,2000,North America
